"";"ENQUÊTE.2017";"ENQUÊTE.2018";"ENQUÊTE.2019";"ENQUÊTE.2020";"LABELLISÉS.ECOCERT.EN.CUISINE";"ADRESSE";"CODE.POSTAL";"COMMUNE";"REGION";"TYPE.ETABLISSEMENT.(Cuisine.centrale.d'une.collectivité,.écoles,.collèges,.lycées,.Ehpad,.etc.)";"COLLECTIVITÉ.TERRITORIALE.(Oui/Non)";"TAILLE.COLLECTIVITÉS.(en.nombre.de.repas/jour)";"MODE.GESTION.RESTAURATION.COLLECTIVE.(Gestion.directe,.concédée,.mixte.ou.les.deux)";"MODE.PRODUCTION.RESTAURATION.COLLECTIVE.(Cuisine.centrale,.sur.place.ou.les.deux)";"NBR.ÉTABLISSEMENTS";"NBR.REPAS/JOUR";"lat";"long"
"LANGOUET";0;1;1;1;"Non";"Rue des chênes";"35630";"Langouet";"BRETAGNE";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"70";48,253;-1,814
"LAURIS";0;1;1;1;"Non";"18 Rue Louis Mourre";"84360";"LAURIS";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"240";43,7584;5,315
"LONS-LE-SAUNIER";0;1;1;1;"Non";"635  rue de levant";"39000";"lons le saunier";"BOURGOGNE-FRANCHE-COMTE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"CENTRALE";"571";"7360";46,6754;5,558
"LYON";0;1;1;0;"Non";"Place de la Comédie";"69001";"Lyon";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"NC";"MIX";"CENTRALE";"NC";"NC";45,7685;4,8236
"LYS LEZ LANNOY ";0;1;0;1;"Non";"avenue paul bert 75";"59390";"Lys lez Lannoy";"HAUTS-DE-FRANCE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"10";"1630";50,6665;3,2099
"MIRAMAS";0;1;1;1;"Oui";"Maison de l’Enfance et de la Jeunesse, 1 promenade de la Crau";"13140";"Miramas";"PROVENCE-ALPES-COTE-D'AZUR";"Cuisine centrale";"Oui";"NC";"DEL";"CENTRALE";"24";"1300";43,5701;5,0329
"MONEIN";0;1;1;1;"Oui";"Rue Marca";"64360";"MONEIN";"NOUVELLE AQUITAINE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"LES DEUX";"14";"626";43,2905;-0,5579
"MOUANS-SARTOUX";1;1;1;1;"Oui";"Place du Général de Gaulle";"6370";"Mouans-Sartoux";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"NC";"DIR";"SUR PLACE";"3";"1015";43,6236;6,9703
"NIORT";0;1;1;0;"Non";"Place Martin Bastard";"79027";"NIORT";"NOUVELLE AQUITAINE";"Ecoles";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"LES DEUX";"41";"4800";46,3265;-0,4678
"NOGARO";0;1;1;1;"Oui";"1, place de la mairie";"32110";"NOGARO";"OCCITANIE";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"6";"317";43,7634;-0,0308
"PARIS";0;1;1;1;"Non";"4 rue Lobau";"75004";"PARIS";"ILE DE FRANCE";"Cuisine centrale";"Oui";"Plus de 10 000 repas/jour";"LES DEUX";"LES DEUX";"1276";"169843";43,8072;1,8315
"PLOURIN-LES-MORLAIX";0;1;0;0;"Non";"anne-marie coq";"29600";"plourin lesmorlaix";"BRETAGNE";"Lycées";"Oui";"NC";"DIR";"LES DEUX";"NC";"NC";48,597;-3,815
"POITIERS";0;1;1;1;"Non";"15 place Maréchal Leclerc";"86000";"POITIERS";"PAYS-DE-LOIRE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"LES DEUX";"61";"6140";46,5822;0,3631
"PRADES-LE-LEZ";0;1;1;0;"Non";"PLACE DU MARCHÉ";"34730";"PRADES LE LEZ";"OCCITANIE";"Ecoles";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"SUR PLACE";"3";"605";43,7061;3,8651
"RENNES";0;1;1;1;"Non";"Hotel de ville";"35000";"RENNES";"BRETAGNE";"Cuisine centrale";"Oui";"Plus de 10 000 repas/jour";"DIR";"CENTRALE";"131";"18750";48,1105;-1,6815
"RIOM";0;1;1;0;"Non";"23 rue de l'hotel de ville";"63200";"RIOM";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"8";"1251";44,2715;5,465
"STRASBOURG";0;1;1;1;"Non";"1 place de l'etoile";"67000";"STRASBOURG";"GRAND-EST";"Cuisine centrale";"Oui";"Plus de 10 000 repas/jour";"DEL";"LES DEUX";"68";"11670";48,5673;7,7553
"VENTALON EN CEVENNES";0;1;1;1;"Non";"Les abrits";"48240";"Ventalon en Cévennes";"OCCITANIE";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"26";44,2623;3,8023
"BLANC-MESNIL et de PANTIN";0;1;0;1;"Non";"RUE GUSTAVE ROUSSY";"93150";"LE BLANC MESNIL";"ILE DE FRANCE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"CENTRALE";"63";"6500";48,9366;2,4622
"BUGARACH et RENNES-LES-BAINS";0;1;0;0;"Non";"route des pyrénées";"11190";"couiza";"OCCITANIE";"Cuisine centrale";"Oui";"NC";"MIX";"CENTRALE";"NC";"NC";42,9337;2,272
"Crèche Bout Chou";0;1;0;0;"Non";"8 route de Jonzac";"17240";"Saint Genis de Saintonge";"NOUVELLE AQUITAINE";"Crèches";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";45,4837;-0,6131
"Crèche du Grand-Rond";0;1;0;0;"Non";"2 rue Abel Autofage";"31000";"Toulouse";"OCCITANIE";"Crèches";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";43,6089;1,4368
"Crèche ELS Patufets";0;1;0;1;"Non";"Avenue de St Jean Plats de Corts";"66420";"Maureillas-las-Illas";"OCCITANIE";"Cuisine centrale";"Non";"Moins de 500 repas/jour";"DEL";"CENTRALE";"1";"20";42,4738;2,8092
"Crèche Le Pays Imaginaire";0;1;0;0;"Non";"3 allée de la Roseraie";"43800";"Rosières";"AUVERGNE-RHONE-ALPES";"Crèches";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";45,1399;3,9529
"Crèche Les P'tites Abeilles";0;1;1;0;"Oui";"Lann Er Velin";"56670";"RIANTEC";"BRETAGNE";"Crèches";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"45";47,7123;-3,3008
"Crèche Multiaccueil de Seyssins";0;1;1;0;"Non";"40 rue de la liberté";"38180";"Seyssins";"AUVERGNE-RHONE-ALPES";"Crèches";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"47";45,1588;5,6744
"Crèches Croix Rouge Lyon";0;1;1;0;"Non";"25 rue Victorien Sardou";"69007";"LYON";"AUVERGNE-RHONE-ALPES";"Crèches";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"46";45,7685;4,8236
"Département de Loire Atlantique";0;1;1;1;"Oui";"Quay Ceineray";"44000";"Nantes";"PAYS-DE-LOIRE";"Collèges";"Oui";"Plus de 10 000 repas/jour";"DIR";"SUR PLACE";"73";"33200";47,2397;-1,5492
"Département du Gers";0;1;1;1;"Oui";"81 Route de Pessan";"32000";"Auch";"OCCITANIE";"Collèges";"Oui";"NC";"DIR";"SUR PLACE";"20";"1014595";43,6602;0,5718
"Ecole Menthe Abricot Cerise ";0;1;1;1;"Non";"Village";"38650";"Roissard";"AUVERGNE-RHONE-ALPES";"Ecoles";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"42";44,881;5,6339
"Ecole Steiner Waldorf de SORGUES";0;1;1;1;"Non";"300 chemin de la traille";"84700";"Sorgues";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"300";44,0196;4,873
"EHPAD Maison Notre Dame ";0;1;0;0;"Non";"6 bvd Benoîte Danesi";"20200";"Bastia";"CORSE";"Ehpad";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";42,6927;9,4372
"EPLEFPA de la baie du Mont Saint-Michel";0;1;0;0;"Non";"11 route de Fougères";"50600";"Saint-Hilaire-du-Harcouët";"NORMANDIE";"Lycées";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";48,5726;-1,0251
"Foyer du Romarin ";0;1;0;0;"Oui";"246 RU E DU ROMARIN";"34830";"CLAPIERS";"OCCITANIE";"Ehpad";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";43,6633;3,8818
"Lycée Agricole Yvetot";0;1;0;0;"Non";"route de Caudebec";"76190";"AUZEBOSC";"NORMANDIE";"Lycées";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";49,6016;0,7324
"Lycée Alain";0;1;0;0;"Non";"27 Boulevard Mezeray";"61000";"ALENCON";"NORMANDIE";"Lycées";"Non";"NC";"DIR";"LES DEUX";"NC";"NC";48,4284;0,0931
"Lycée Arthur Rimbaud";0;1;0;0;"Non";"quartier des Salles";"13800";"Istres";"PROVENCE-ALPES-COTE-D'AZUR";"Lycées";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";43,519;4,9842
"Lycée de Navarre ";0;1;0;0;"Non";"Avenue du Jaï Alaï, BP 1";"64220";"Saint Jean Pied de Port";"NOUVELLE AQUITAINE";"Lycées";"Non";"NC";"DIR";"LES DEUX";"NC";"NC";43,1454;-1,1639
"Lycée des Métiers Sauxmarais";0;1;0;0;"Non";"444 rue de la Chasse aux Loups, appt n°4";"50110";"CHERBOURG EN COTENTIN";"NORMANDIE";"Lycées";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";49,6501;-1,5132
"Lycée Flora Tristan";0;1;0;0;"Non";"7-9 avenue le Meunier de la Raillère";"61600";"LA FERTE MACE";"NORMANDIE";"Lycées";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";48,6222;-0,3094
"Lycée François Rabelais ";0;1;0;0;"Non";"rue Rabelais";"85200";"Fontenay le Comte";"NOUVELLE AQUITAINE";"Lycées";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";46,4435;-0,8638
"Lycée Louis Pergaud";0;1;0;0;"Non";"91 boulevard Blum";"25000";"BESANCON";"BOURGOGNE-FRANCHE-COMTE";"Lycées";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";47,26;6,0285
"Lycée Marie Le Franc";0;1;1;0;"Non";"128 BOULEVARD LEON BLUM - BP 2146";"56321";"LORIENT CEDEX";"BRETAGNE";"Lycées";"Non";"Entre 500 et 3000 repas/jour";"DIR";"SUR PLACE";"1";"600";NA;NA
"RA du Rectorat de Besancon";0;1;0;0;"Non";"10 rue de la Convention";"25000";"besancon";"BOURGOGNE-FRANCHE-COMTE";"Entreprises & administrations";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";47,26;6,0285
"RE ADEME Angers";0;1;0;0;"Non";"20, Avenue du Grésillé";"49004";"Angers";"PAYS-DE-LOIRE";"Entreprises & administrations";"Non";"NC";"DEL";"SUR PLACE";"NC";"NC";47,4776;-0,5628
"RE H2 du CEA de Grenoble";0;1;0;0;"Non";"Restaurant H2 CEA, 17 Avenue des Martyrs";"38000";"GRENOBLE";"AUVERGNE-RHONE-ALPES";"Entreprises & administrations";"Non";"NC";"DEL";"SUR PLACE";"NC";"NC";45,1825;5,7301
"CR HAUTS DE FRANCE";0;1;1;1;"Non";"Boulevard Hoover";"59000";"Lille";"HAUTS-DE-FRANCE";"Lycées";"Oui";"Plus de 10 000 repas/jour";"DIR";"SUR PLACE";"92";"NC";48,5692;-1,8574
"RIA de Vesoul";0;1;0;0;"Non";"1 Impasse des Rosiers";"70000";"Vesoul";"BOURGOGNE-FRANCHE-COMTE";"Entreprises & administrations";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";47,633;6,1513
"SIRP du COUTACH";0;1;1;1;"Non";"48, Place des Arènes";"30260";"QUISSAC";"OCCITANIE";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DEL";"CENTRALE";"2";"228";43,9193;3,9902
"Centre de vacances Anae La Grande Casse";0;1;0;0;"Non";"NC";"NC";"NC";"NC";"Centre de vacances";"Non";"NC";"NC";"NC";"NC";"NC";NA;NA
"Centre de vacances Neige et Soleil ";0;1;0;0;"Non";"NC";"NC";"NC";"NC";"Centre de vacances";"Non";"NC";"NC";"NC";"NC";"NC";NA;NA
"Collège René Cassin";0;0;0;0;"Oui";"15 rue des roitelets";"70000";"noidans les vesoul";"BOURGOGNE-FRANCHE-COMTE";"Collèges";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";47,5893;6,089
